date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-06-21,8.03,8.04,8.01,7.92,8817.0,0.03,0.38,7.93,7.797,7.737,16095.52,14627.34,17931.4,0.28
2017-06-20,8.09,8.16,7.98,7.95,15972.44,0.01,0.12,7.838,7.787,7.748,17231.65,15468.55,18246.29,0.5
2017-06-19,7.87,8.01,7.97,7.78,20211.73,0.1,1.27,7.766,7.766,7.783,16294.97,15545.11,18038.6,0.63
2017-06-16,7.8,7.9,7.87,7.75,11295.38,0.05,0.64,7.666,7.735,7.81,15996.82,15139.82,17742.86,0.35
2017-06-15,7.58,7.89,7.82,7.56,24181.06,0.27,3.58,7.664,7.693,7.853,15727.57,15708.69,18246.59,0.76
2017-06-14,7.7,7.7,7.55,7.5,14497.65,-0.07,-0.92,7.664,7.639,7.898,13159.16,15322.49,17663.99,0.46
2017-06-13,7.37,7.62,7.62,7.3,11289.03,0.15,2.01,7.736,7.65,7.948,13705.45,16084.58,17591.56,0.35
2017-06-12,7.7,7.79,7.47,7.47,18721.0,-0.39,-4.96,7.766,7.653,7.99,14795.25,18045.16,18160.91,0.59
2017-06-09,7.83,7.88,7.86,7.76,9949.1,0.04,0.51,7.804,7.676,8.028,14282.82,18039.06,18886.77,0.31
2017-06-08,7.82,7.98,7.82,7.8,11339.0,-0.09,-1.14,7.722,7.675,8.06,15689.8,19614.57,19727.67,0.36
2017-06-07,7.82,7.96,7.91,7.75,17229.11,0.14,1.8,7.614,7.676,8.113,17485.82,21235.45,21380.07,0.54
2017-06-06,7.68,7.92,7.77,7.6,16738.05,0.11,1.44,7.564,7.709,8.186,18463.72,21024.03,22015.87,0.53
2017-06-05,7.47,7.82,7.66,7.4,16158.86,0.21,2.82,7.54,7.799,8.29,21295.08,20532.09,22015.12,0.51
2017-06-02,7.18,7.55,7.45,7.08,16984.0,0.17,2.33,7.548,7.884,8.412,21795.31,20345.9,22042.94,0.53
2017-06-01,7.61,7.61,7.28,7.28,20319.09,-0.38,-4.96,7.628,8.013,8.536,23539.34,20784.5,22016.54,0.64
2017-05-31,7.68,7.77,7.66,7.6,22118.58,0.01,0.13,7.738,8.157,8.662,24985.08,20005.5,22011.17,0.69
2017-05-26,7.7,7.83,7.65,7.56,30894.86,-0.05,-0.65,7.854,8.245,8.78,23584.33,19098.54,22248.71,0.97
2017-05-25,7.75,7.85,7.7,7.54,18660.0,-0.15,-1.91,8.058,8.327,8.887,19769.1,18276.66,22305.18,0.59
2017-05-24,7.7,7.88,7.85,7.5,25704.15,0.02,0.26,8.22,8.379,8.981,18896.5,19734.48,22657.36,0.81
2017-05-23,8.2,8.2,7.83,7.83,27547.83,-0.41,-4.98,8.398,8.444,9.072,18029.67,19840.77,22736.61,0.87
2017-05-22,8.67,8.74,8.24,8.24,15114.83,-0.43,-4.96,8.576,8.55,9.179,15025.91,21524.68,22753.81,0.47
2017-05-19,8.43,8.75,8.67,8.42,11818.67,0.16,1.88,8.636,8.662,9.291,14612.75,23007.71,24162.13,0.37
2017-05-18,8.51,8.74,8.51,8.41,14297.0,-0.23,-2.63,8.596,8.78,9.356,16784.22,23498.14,24588.9,0.45
2017-05-17,8.81,8.9,8.74,8.65,21370.0,0.02,0.23,8.538,8.939,9.438,20572.46,23739.98,25191.09,0.67
2017-05-16,8.44,8.75,8.72,8.44,12529.07,0.18,2.11,8.49,9.059,9.524,21651.86,23248.58,25509.39,0.39
2017-05-15,8.35,8.63,8.54,8.35,13049.02,0.07,0.83,8.524,9.166,9.611,28023.45,24016.85,26998.54,0.41
2017-05-12,8.18,8.6,8.47,8.1,22676.02,0.25,3.04,8.688,9.314,9.734,31402.67,25398.87,28289.26,0.71
2017-05-11,8.5,8.5,8.22,8.08,33238.21,-0.28,-3.29,8.964,9.446,9.882,30212.07,26333.7,28444.45,1.04
2017-05-10,8.89,8.96,8.5,8.48,26767.0,-0.39,-4.39,9.34,9.583,10.048,26907.5,25580.25,28366.75,0.84
2017-05-09,9.22,9.25,8.89,8.89,44387.0,-0.47,-5.02,9.628,9.7,10.223,24845.3,25632.45,27964.44,1.39
2017-05-08,9.81,9.85,9.36,9.36,29945.12,-0.49,-4.97,9.808,9.807,10.369,20010.24,23982.95,27242.15,0.94
2017-05-05,10.08,10.19,9.85,9.82,16723.0,-0.25,-2.48,9.94,9.919,10.521,19395.07,25316.56,27159.18,0.53
2017-05-04,9.92,10.28,10.1,9.85,16715.37,0.16,1.61,9.928,9.932,10.629,22455.34,25679.66,28036.72,0.53
2017-05-03,9.69,9.99,9.94,9.68,16456.01,0.15,1.53,9.826,9.937,10.712,24252.99,26642.2,31057.02,0.52
2017-05-02,9.9,10.03,9.79,9.75,20211.7,-0.23,-2.29,9.772,9.988,10.821,26419.59,27770.21,31971.76,0.63
2017-04-28,9.82,10.08,10.02,9.54,26869.27,0.23,2.35,9.806,10.055,10.944,27955.65,29980.24,33599.01,0.84
2017-04-27,9.6,9.95,9.79,9.43,32024.35,0.2,2.09,9.898,10.154,11.075,31238.04,31179.64,34120.02,1.01
2017-04-26,9.71,9.79,9.59,9.41,25703.64,-0.08,-0.83,9.936,10.317,11.241,28903.97,30555.2,34551.94,0.81
2017-04-25,9.98,10.25,9.67,9.55,27289.0,-0.29,-2.91,10.048,10.513,11.432,29031.4,31153.25,40919.03,0.86
2017-04-24,10.38,10.38,9.96,9.96,27892.0,-0.52,-4.96,10.204,10.746,11.611,29120.82,30296.43,42227.59,0.88
2017-04-21,9.95,10.48,10.48,9.7,43281.23,0.5,5.01,10.304,10.931,11.783,32004.82,30501.34,44378.81,1.36
2017-04-20,10.2,10.36,9.98,9.92,20354.0,-0.17,-1.68,10.41,11.122,11.948,31121.24,29001.8,44494.55,0.64
2017-04-19,10.38,10.45,10.15,10.03,26340.78,-0.3,-2.87,10.698,11.325,12.134,32206.42,30393.77,47927.69,0.83
2017-04-18,10.5,10.56,10.45,10.23,27736.08,-0.01,-0.1,10.978,11.487,12.342,33275.1,35471.83,49685.66,0.87
2017-04-17,10.99,10.99,10.46,10.46,42312.03,-0.55,-5.0,11.288,11.654,12.554,31472.04,36173.31,51771.42,1.33
2017-04-14,11.34,11.48,11.01,10.9,38863.32,-0.41,-3.59,11.558,11.833,12.759,28997.86,37217.78,52780.05,1.22
2017-04-13,11.48,11.87,11.42,11.32,25779.89,-0.13,-1.13,11.834,11.996,12.923,26882.36,37060.4,52622.57,0.81
2017-04-12,11.88,11.98,11.55,11.49,31684.19,-0.45,-3.75,11.952,12.165,13.065,28581.13,38548.69,53696.94,1.0
2017-04-11,11.82,12.07,12.0,11.7,18720.77,0.19,1.61,11.996,12.35,13.21,37668.56,50684.81,55757.23,0.59
2017-04-10,12.49,12.49,11.81,11.79,29941.15,-0.58,-4.68,12.02,12.475,13.318,40874.58,54158.76,57333.28,0.94
2017-04-07,11.98,12.43,12.39,11.84,28285.79,0.38,3.16,12.108,12.634,13.45,45437.69,58256.27,58057.03,0.89
2017-04-06,11.6,12.12,12.01,11.58,34273.75,0.24,2.04,12.158,12.773,13.556,47238.44,59987.3,59760.89,1.08
2017-04-05,11.99,11.99,11.77,11.51,77121.36,-0.35,-2.89,12.378,12.942,13.675,48516.25,65461.6,61595.64,2.42
2017-03-31,12.25,12.25,12.12,11.9,34750.83,-0.13,-1.06,12.704,13.197,13.817,63701.06,63899.49,63949.93,1.09
2017-03-30,12.63,12.64,12.25,12.03,52756.72,-0.39,-3.08,12.93,13.454,13.972,67442.94,67369.54,67784.92,1.66
2017-03-29,13.11,13.31,12.64,12.63,37289.52,-0.47,-3.58,13.16,13.684,14.14,71074.85,68342.32,73733.14,1.17
